Rk.,Column1,Player,Pitches,Total,Pitch %,SLG,xSLG,SLG - xSLG,2
1,,"Merrifield, Whit",755,11479,6.6,1.283,0.778,0.505,Graphs
2,,"LeMahieu, DJ",695,10819,6.4,1.214,0.748,0.466,Graphs
3,,"Blackmon, Charlie",666,11021,6,1.317,0.794,0.523,Graphs
4,,"Segura, Jean",642,9630,6.7,1.243,0.668,0.575,Graphs
5,,"Turner, Trea",636,10375,6.1,1.291,0.707,0.584,Graphs
6,,"Altuve, Jose",627,9676,6.5,1.249,0.726,0.523,Graphs
7,,"Freeman, Freddie",622,11051,5.6,1.294,0.912,0.382,Graphs
8,,"Castellanos, Nick",619,10589,5.8,1.373,0.878,0.495,Graphs
9,,"Gurriel, Yuli",617,9007,6.9,1.274,0.682,0.592,Graphs
10,,"Bogaerts, Xander",611,11242,5.4,1.313,0.75,0.563,Graphs
11,,"Hernández, César",610,11458,5.3,1.231,0.669,0.562,Graphs
12,,"Hosmer, Eric",603,10472,5.8,1.224,0.713,0.511,Graphs
13,,"Anderson, Tim",602,8878,6.8,1.243,0.718,0.525,Graphs
14,,"Brantley, Michael",592,8582,6.9,1.264,0.756,0.508,Graphs
15,,"Abreu, José",588,11036,5.3,1.31,0.779,0.531,Graphs
16,,"Goldschmidt, Paul",588,12284,4.8,1.281,0.887,0.394,Graphs
17,,"Arenado, Nolan",586,10737,5.5,1.312,0.754,0.558,Graphs
18,,"Betts, Mookie",585,11457,5.1,1.347,0.806,0.541,Graphs
19,,"Machado, Manny",580,10669,5.4,1.259,0.787,0.472,Graphs
20,,"Lindor, Francisco",565,11287,5,1.313,0.792,0.521,Graphs
21,,"Andrus, Elvis",554,9167,6,1.265,0.69,0.575,Graphs
22,,"Martinez, J.D.",543,10201,5.3,1.32,0.909,0.411,Graphs
23,,"Semien, Marcus",543,11345,4.8,1.315,0.77,0.545,Graphs
24,,"Peralta, David",541,8862,6.1,1.305,0.687,0.618,Graphs
25,,"Benintendi, Andrew",541,9823,5.5,1.301,0.797,0.504,Graphs
26,,"Frazier, Adam",540,8658,6.2,1.294,0.717,0.577,Graphs
27,,"Marte, Starling",540,8625,6.3,1.269,0.718,0.551,Graphs
28,,"Yelich, Christian",539,10812,5,1.288,0.786,0.502,Graphs
29,,"Story, Trevor",536,10961,4.9,1.382,0.8,0.582,Graphs
30,,"Ramírez, José",532,11572,4.6,1.4,0.782,0.618,Graphs
31,,"Polanco, Jorge",532,9629,5.5,1.303,0.758,0.545,Graphs
32,,"Iglesias, José",529,7873,6.7,1.278,0.688,0.59,Graphs
33,,"Simmons, Andrelton",523,7755,6.7,1.222,0.637,0.585,Graphs
34,,"Albies, Ozzie",523,8844,5.9,1.358,0.812,0.546,Graphs
35,,"Castro, Starlin",520,8295,6.3,1.231,0.747,0.484,Graphs
36,,"Rizzo, Anthony",517,10852,4.8,1.269,0.803,0.466,Graphs
37,,"Rosario, Eddie",515,8659,5.9,1.26,0.815,0.445,Graphs
38,,"Schoop, Jonathan",515,9204,5.6,1.241,0.723,0.518,Graphs
39,,"Cain, Lorenzo",515,8682,5.9,1.214,0.701,0.513,Graphs
40,,"Bregman, Alex",514,10367,5,1.339,0.749,0.59,Graphs
41,,"Mancini, Trey",513,9986,5.1,1.273,0.789,0.484,Graphs
42,,"Escobar, Eduardo",512,10376,4.9,1.348,0.824,0.524,Graphs
43,,"Votto, Joey",510,10850,4.7,1.265,0.892,0.373,Graphs
44,,"Rosario, Amed",508,7859,6.5,1.276,0.709,0.567,Graphs
45,,"Realmuto, J.T.",508,9383,5.4,1.311,0.766,0.545,Graphs
46,,"Báez, Javier",506,9066,5.6,1.326,0.761,0.565,Graphs
47,,"Turner, Justin",501,9060,5.5,1.244,0.785,0.459,Graphs
48,,"Pillar, Kevin",499,8451,5.9,1.319,0.751,0.568,Graphs
49,,"Rendon, Anthony",498,9460,5.3,1.335,0.89,0.445,Graphs
50,,"Crawford, Brandon",497,9437,5.3,1.29,0.79,0.5,Graphs
51,,"Galvis, Freddy",497,9666,5.1,1.27,0.73,0.54,Graphs
52,,"Santana, Carlos",491,12071,4.1,1.263,0.804,0.459,Graphs
53,,"Devers, Rafael",486,8838,5.5,1.323,0.83,0.493,Graphs
54,,"Swanson, Dansby",485,10194,4.8,1.297,0.796,0.501,Graphs
55,,"Bryant, Kris",482,9712,5,1.332,0.858,0.474,Graphs
56,,"Taylor, Chris",481,9708,5,1.372,0.812,0.56,Graphs
57,,"Bell, Josh",481,10398,4.6,1.31,0.763,0.547,Graphs
58,,"Villar, Jonathan",481,9558,5,1.22,0.685,0.535,Graphs
59,,"Rojas, Miguel",478,7481,6.4,1.234,0.679,0.555,Graphs
60,,"Pham, Tommy",476,9843,4.8,1.258,0.755,0.503,Graphs
61,,"Harper, Bryce",476,11005,4.3,1.332,0.845,0.487,Graphs
62,,"Ozuna, Marcell",474,8974,5.3,1.209,0.807,0.402,Graphs
63,,"Marte, Ketel",473,7632,6.2,1.351,0.75,0.601,Graphs
64,,"Dickerson, Corey",472,8003,5.9,1.333,0.753,0.58,Graphs
65,,"García, Avisaíl",469,7783,6,1.232,0.796,0.436,Graphs
66,,"Fletcher, David",469,6928,6.8,1.226,0.637,0.589,Graphs
67,,"Markakis, Nick",467,7937,5.9,1.283,0.751,0.532,Graphs
68,,"Strange-Gordon, Dee",464,6130,7.6,1.207,0.619,0.588,Graphs
69,,"Cruz, Nelson",461,9915,4.6,1.223,0.845,0.378,Graphs
70,,"Molina, Yadier",456,7810,5.8,1.206,0.775,0.431,Graphs
71,,"Moncada, Yoán",455,9446,4.8,1.327,0.825,0.502,Graphs
72,,"Wong, Kolten",455,7692,5.9,1.29,0.666,0.624,Graphs
73,,"Posey, Buster",453,7274,6.2,1.232,0.803,0.429,Graphs
74,,"Gardner, Brett",444,10601,4.2,1.313,0.701,0.612,Graphs
75,,"Cabrera, Asdrúbal",440,8598,5.1,1.302,0.766,0.536,Graphs
76,,"Margot, Manuel",440,7971,5.5,1.3,0.66,0.64,Graphs
77,,"Springer, George",437,9499,4.6,1.256,0.758,0.498,Graphs
78,,"Longoria, Evan",431,8391,5.1,1.29,0.796,0.494,Graphs
79,,"Suárez, Eugenio",429,11234,3.8,1.261,0.867,0.394,Graphs
80,,"Reddick, Josh",428,7357,5.8,1.252,0.73,0.522,Graphs
81,,"Seager, Kyle",428,10392,4.1,1.32,0.841,0.479,Graphs
82,,"McCutchen, Andrew",427,9957,4.3,1.279,0.8,0.479,Graphs
83,,"Conforto, Michael",425,9983,4.3,1.264,0.84,0.424,Graphs
84,,"Grossman, Robbie",425,9194,4.6,1.294,0.752,0.542,Graphs
85,,"Correa, Carlos",424,8603,4.9,1.264,0.799,0.465,Graphs
86,,"Peraza, José",420,6437,6.5,1.226,0.72,0.506,Graphs
87,,"Seager, Corey",418,6785,6.2,1.306,0.859,0.447,Graphs
88,,"Inciarte, Ender",418,6746,6.2,1.232,0.683,0.549,Graphs
89,,"Heyward, Jason",414,7913,5.2,1.268,0.702,0.566,Graphs
90,,"Bellinger, Cody",413,9934,4.2,1.337,0.811,0.526,Graphs
91,,"Gregorius, Didi",412,8011,5.1,1.272,0.716,0.556,Graphs
92,,"Cabrera, Miguel",412,7624,5.4,1.18,0.838,0.342,Graphs
93,,"Garcia, Leury",410,6114,6.7,1.239,0.671,0.568,Graphs
94,,"Grichuk, Randal",408,8764,4.7,1.343,0.785,0.558,Graphs
95,,"Vázquez, Christian",402,7110,5.7,1.234,0.748,0.486,Graphs
96,,"Judge, Aaron",402,10168,4,1.246,0.941,0.305,Graphs
97,,"Jones, Adam",402,6374,6.3,1.229,0.732,0.497,Graphs
98,,"Ahmed, Nick",402,7715,5.2,1.363,0.771,0.592,Graphs
99,,"Kepler, Max",401,9285,4.3,1.359,0.787,0.572,Graphs
100,,"Myers, Wil",400,8981,4.5,1.33,0.801,0.529,Graphs
101,,"Gonzalez, Marwin",399,8117,4.9,1.256,0.771,0.485,Graphs
102,,"Franco, Maikel",399,7900,5.1,1.263,0.733,0.53,Graphs
103,,"Panik, Joe",398,7095,5.6,1.236,0.708,0.528,Graphs
104,,"Chapman, Matt",398,10021,4,1.394,0.822,0.572,Graphs
105,,"Choo, Shin-Soo",393,8545,4.6,1.234,0.842,0.392,Graphs
106,,"Bradley Jr., Jackie",393,8929,4.4,1.333,0.835,0.498,Graphs
107,,"Haniger, Mitch",389,8312,4.7,1.301,0.83,0.471,Graphs
108,,"Pujols, Albert",388,8123,4.8,1.18,0.751,0.429,Graphs
109,,"Soto, Juan",387,8247,4.7,1.276,0.85,0.426,Graphs
110,,"Mazara, Nomar",384,7931,4.8,1.273,0.764,0.509,Graphs
111,,"Moustakas, Mike",383,8305,4.6,1.292,0.757,0.535,Graphs
112,,"Herrera, Odúbel",383,6971,5.5,1.303,0.671,0.632,Graphs
113,,"Pollock, AJ",382,6920,5.5,1.343,0.789,0.554,Graphs
114,,"Sanchez, Yolmer",381,6976,5.5,1.315,0.686,0.629,Graphs
115,,"Contreras, Willson",381,8133,4.7,1.289,0.771,0.518,Graphs
116,,"Candelario, Jeimer",378,8212,4.6,1.341,0.818,0.523,Graphs
117,,"Lowrie, Jed",377,7391,5.1,1.324,0.886,0.438,Graphs
118,,"Olson, Matt",373,9822,3.8,1.273,0.914,0.359,Graphs
119,,"DeJong, Paul",372,8509,4.4,1.285,0.847,0.438,Graphs
120,,"Murphy, Daniel",370,5757,6.4,1.281,0.743,0.538,Graphs
121,,"Harrison, Josh",369,6157,6,1.252,0.753,0.499,Graphs
122,,"Gamel, Ben",368,7006,5.3,1.302,0.771,0.531,Graphs
123,,"Stanton, Giancarlo",368,8834,4.2,1.264,0.797,0.467,Graphs
124,,"Gordon, Alex",366,7448,4.9,1.232,0.78,0.452,Graphs
125,,"Flores, Wilmer",365,6795,5.4,1.255,0.753,0.502,Graphs
126,,"Belt, Brandon",364,8480,4.3,1.346,0.913,0.433,Graphs
127,,"Cron, C.J.",364,7919,4.6,1.291,0.886,0.405,Graphs
128,,"Anderson, Brian",363,6866,5.3,1.287,0.799,0.488,Graphs
129,,"McCann, James",362,7338,4.9,1.218,0.793,0.425,Graphs
130,,"Trout, Mike",360,8812,4.1,1.325,0.845,0.48,Graphs
131,,"Aguilar, Jesús",359,8217,4.4,1.248,0.81,0.438,Graphs
132,,"Calhoun, Kole",359,8693,4.1,1.27,0.863,0.407,Graphs
133,,"Canó, Robinson",358,5657,6.3,1.257,0.761,0.496,Graphs
134,,"Kiermaier, Kevin",356,6954,5.1,1.362,0.66,0.702,Graphs
135,,"Kiner-Falefa, Isiah",356,5542,6.4,1.216,0.633,0.583,Graphs
136,,"Arcia, Orlando",353,6446,5.5,1.198,0.68,0.518,Graphs
137,,"Hamilton, Billy",353,6704,5.3,1.297,0.633,0.664,Graphs
138,,"McNeil, Jeff",353,5223,6.8,1.278,0.693,0.585,Graphs
139,,"Barnhart, Tucker",353,6873,5.1,1.263,0.755,0.508,Graphs
140,,"Perez, Salvador",352,6618,5.3,1.241,0.893,0.348,Graphs
141,,"Hernández, Enrique",350,7938,4.4,1.351,0.774,0.577,Graphs
142,,"Wendle, Joey",349,5582,6.3,1.33,0.694,0.636,Graphs
143,,"Hernández, Teoscar",347,7591,4.6,1.311,0.882,0.429,Graphs
144,,"Torres, Gleyber",347,7093,4.9,1.213,0.819,0.394,Graphs
145,,"Narváez, Omar",343,6669,5.1,1.181,0.715,0.466,Graphs
146,,"Tapia, Raimel",341,5115,6.7,1.279,0.649,0.63,Graphs
147,,"Escobar, Alcides",340,5544,6.1,1.291,0.719,0.572,Graphs
148,,"Grandal, Yasmani",339,9400,3.6,1.295,0.814,0.481,Graphs
149,,"Carpenter, Matt",339,9642,3.5,1.354,0.936,0.418,Graphs
150,,"Eaton, Adam",336,6415,5.2,1.283,0.652,0.631,Graphs
151,,"Odor, Rougned",336,8671,3.9,1.304,0.784,0.52,Graphs
152,,"Canha, Mark",336,8368,4,1.313,0.813,0.5,Graphs
153,,"Adames, Willy",330,6714,4.9,1.258,0.733,0.525,Graphs
154,,"Piscotty, Stephen",330,6540,5,1.279,0.812,0.467,Graphs
155,,"Upton, Justin",330,8553,3.9,1.27,0.844,0.426,Graphs
156,,"Moran, Colin",329,5763,5.7,1.234,0.8,0.434,Graphs
157,,"Schwarber, Kyle",328,9729,3.4,1.299,0.871,0.428,Graphs
158,,"Renfroe, Hunter",328,8355,3.9,1.338,0.845,0.493,Graphs
159,,"Hoskins, Rhys",325,9783,3.3,1.388,0.927,0.461,Graphs
160,,"Cabrera, Melky",323,4795,6.7,1.232,0.748,0.484,Graphs
161,,"Smith, Mallex",323,5559,5.8,1.316,0.661,0.655,Graphs
162,,"Profar, Jurickson",322,7251,4.4,1.323,0.727,0.596,Graphs
163,,"Donaldson, Josh",321,8298,3.9,1.299,0.869,0.43,Graphs
164,,"Acuña Jr., Ronald",321,7358,4.4,1.287,0.865,0.422,Graphs
165,,"Ramos, Wilson",319,5003,6.4,1.188,0.746,0.442,Graphs
