Rk.,Column1,Player,Pitches,Total,Pitch %,xBA,BA - xBA,2
1,,"Rosario, Amed",278,2395,11.6,0.241,0.047,Graphs
2,,"Guerrero Jr., Vladimir",275,2596,10.6,0.219,0.025,Graphs
3,,"Yelich, Christian",246,2747,9,0.273,-0.004,Graphs
4,,"Bichette, Bo",245,2522,9.7,0.261,0.025,Graphs
5,,"Nimmo, Brandon",243,2781,8.7,0.255,0.062,Graphs
6,,"Verdugo, Alex",237,2490,9.5,0.231,-0.003,Graphs
7,,"Abreu, José",236,2730,8.6,0.245,0.03,Graphs
8,,"Kiner-Falefa, Isiah",234,1940,12.1,0.224,0.031,Graphs
9,,"Edman, Tommy",231,2328,9.9,0.259,0.011,Graphs
10,,"Bell, Josh",230,2505,9.2,0.243,-0.017,Graphs
11,,"Turner, Trea",229,2720,8.4,0.261,0.058,Graphs
12,,"Bohm, Alec",225,2301,9.8,0.259,-0.019,Graphs
13,,"Rodgers, Brendan",224,2112,10.6,0.235,0.019,Graphs
14,,"France, Ty",221,2211,10,0.221,0.041,Graphs
15,,"Hernández, César",219,2368,9.2,0.246,0.041,Graphs
16,,"Lindor, Francisco",219,2829,7.7,0.252,0.031,Graphs
17,,"LeMahieu, DJ",218,2152,10.1,0.223,-0.016,Graphs
18,,"Kwan, Steven",217,2643,8.2,0.225,0.091,Graphs
19,,"Arozarena, Randy",217,2527,8.6,0.236,0.017,Graphs
20,,"Straw, Myles",216,2360,9.2,0.242,-0.004,Graphs
21,,"Lowe, Nathaniel",215,2525,8.5,0.249,0.049,Graphs
22,,"Profar, Jurickson",214,2790,7.7,0.247,0.004,Graphs
23,,"Lopez, Nicky",212,1762,12,0.214,-0.026,Graphs
24,,"Arraez, Luis",209,2413,8.7,0.237,-0.003,Graphs
25,,"Estrada, Thairo",208,1945,10.7,0.211,0.011,Graphs
26,,"Báez, Javier",208,2092,9.9,0.236,0.024,Graphs
27,,"Bogaerts, Xander",208,2500,8.3,0.239,0.107,Graphs
28,,"Kirk, Alejandro",208,2200,9.5,0.228,0.056,Graphs
29,,"Díaz, Yandy",207,2157,9.6,0.258,0.056,Graphs
30,,"Crawford, J.P.",207,2477,8.4,0.199,0.025,Graphs
31,,"Iglesias, José",206,1738,11.9,0.222,0.069,Graphs
32,,"Andrus, Elvis",206,2252,9.1,0.227,-0.018,Graphs
33,,"Soto, Juan",203,2765,7.3,0.229,-0.027,Graphs
34,,"Happ, Ian",203,2572,7.9,0.26,0.011,Graphs
35,,"Vaughn, Andrew",201,2087,9.6,0.211,0.033,Graphs
36,,"Freeman, Freddie",201,2755,7.3,0.265,0.029,Graphs
37,,"Frazier, Adam",200,2191,9.1,0.215,-0.026,Graphs
38,,"Mullins, Cedric",200,2460,8.1,0.268,0.039,Graphs
39,,"Seager, Corey",199,2268,8.8,0.249,-0.103,Graphs
40,,"Rengifo, Luis",198,1818,10.9,0.229,0.025,Graphs
41,,"Hoerner, Nico",198,1831,10.8,0.239,0.024,Graphs
42,,"Gurriel, Yuli",198,2116,9.4,0.23,0.038,Graphs
43,,"McNeil, Jeff",197,2065,9.5,0.233,0.102,Graphs
44,,"Farmer, Kyle",197,2145,9.2,0.231,-0.005,Graphs
45,,"Rojas, Miguel",195,1816,10.7,0.212,-0.021,Graphs
46,,"Grichuk, Randal",192,1977,9.7,0.254,0.053,Graphs
47,,"Hayes, Ke'Bryan",191,2227,8.6,0.235,0.027,Graphs
48,,"Blackmon, Charlie",190,2085,9.1,0.241,-0.042,Graphs
49,,"Pham, Tommy",189,2505,7.5,0.261,-0.002,Graphs
50,,"Kemp, Tony",189,2047,9.2,0.185,0.032,Graphs
51,,"Devers, Rafael",188,2232,8.4,0.245,0.01,Graphs
52,,"Peña, Jeremy",187,2004,9.3,0.24,0.007,Graphs
53,,"Giménez, Andrés",186,2044,9.1,0.239,0.113,Graphs
54,,"Springer, George",185,2175,8.5,0.256,-0.034,Graphs
55,,"Hays, Austin",185,2051,9,0.227,0.059,Graphs
56,,"Marte, Starling",185,1920,9.6,0.224,0.019,Graphs
57,,"Naylor, Josh",185,1768,10.5,0.234,-0.039,Graphs
58,,"Semien, Marcus",184,2776,6.6,0.261,-0.006,Graphs
59,,"Ohtani, Shohei",184,2546,7.2,0.268,-0.007,Graphs
60,,"Hosmer, Eric",181,1617,11.2,0.214,0.018,Graphs
61,,"Altuve, Jose",181,2308,7.8,0.241,0.024,Graphs
62,,"Tapia, Raimel",181,1578,11.5,0.23,0.006,Graphs
63,,"Thomas, Alek",180,1483,12.1,0.228,-0.006,Graphs
