Rk.,Column1,Player,Pitches,Total,Pitch %,SLG,xSLG,SLG - xSLG,2
1,,"Freeman, Freddie",178,2755,6.5,1.287,0.791,0.496,Graphs
2,,"Turner, Trea",173,2720,6.4,1.272,0.708,0.564,Graphs
3,,"Rosario, Amed",169,2395,7.1,1.26,0.666,0.594,Graphs
4,,"Abreu, José",168,2730,6.2,1.238,0.773,0.465,Graphs
5,,"Arraez, Luis",165,2413,6.8,1.2,0.763,0.437,Graphs
6,,"McNeil, Jeff",165,2065,8,1.248,0.656,0.592,Graphs
7,,"Bichette, Bo",165,2522,6.5,1.273,0.752,0.521,Graphs
8,,"Kwan, Steven",162,2643,6.1,1.241,0.624,0.617,Graphs
9,,"Bogaerts, Xander",156,2500,6.2,1.244,0.669,0.575,Graphs
10,,"Verdugo, Alex",155,2490,6.2,1.265,0.761,0.504,Graphs
11,,"Swanson, Dansby",152,2751,5.5,1.224,0.83,0.394,Graphs
12,,"Lowe, Nathaniel",152,2525,6,1.211,0.715,0.496,Graphs
13,,"Bohm, Alec",151,2301,6.6,1.199,0.831,0.368,Graphs
14,,"Lindor, Francisco",144,2829,5.1,1.243,0.718,0.525,Graphs
15,,"Goldschmidt, Paul",143,2701,5.3,1.287,0.766,0.521,Graphs
16,,"Nimmo, Brandon",143,2781,5.1,1.308,0.636,0.672,Graphs
17,,"Guerrero Jr., Vladimir",143,2596,5.5,1.245,0.686,0.559,Graphs
18,,"Mullins, Cedric",141,2460,5.7,1.284,0.722,0.562,Graphs
19,,"Machado, Manny",140,2371,5.9,1.279,0.764,0.515,Graphs
20,,"Edman, Tommy",140,2328,6,1.279,0.693,0.586,Graphs
21,,"Ramírez, José",139,2742,5.1,1.388,0.674,0.714,Graphs
22,,"Hernández, César",138,2368,5.8,1.261,0.669,0.592,Graphs
23,,"Happ, Ian",138,2572,5.4,1.333,0.767,0.566,Graphs
24,,"Semien, Marcus",137,2776,4.9,1.299,0.691,0.608,Graphs
25,,"Devers, Rafael",137,2232,6.1,1.321,0.832,0.489,Graphs
26,,"Benintendi, Andrew",135,1926,7,1.215,0.728,0.487,Graphs
27,,"Arozarena, Randy",134,2527,5.3,1.351,0.727,0.624,Graphs
28,,"Arenado, Nolan",133,2330,5.7,1.331,0.771,0.56,Graphs
29,,"Díaz, Yandy",131,2157,6.1,1.252,0.731,0.521,Graphs
30,,"France, Ty",131,2211,5.9,1.221,0.655,0.566,Graphs
