"","word","count","rank","zipfs_freq"
"1","you",28787591,1,28787591
"2","i",27086011,2,14493912.2651064
"3","the",22761659,3,9701866.21646998
"4","to",17099834,4,7297362.69869203
"5","a",14484562,5,5850931.57950919
"6","'s",14291013,6,4884674.01629111
"7","it",13631703,7,4193322.49805532
"8","and",10572938,8,3674059.93511241
"9","that",10203742,9,3269679.9145952
"10","'t",9628970,10,2945814.01349445
"11","of",8915110,11,2680566.37504163
"12","is",7400675,12,2459324.80546109
"13","in",7337058,13,2271963.78799433
"14","what",6900164,14,2111244.68129725
"15","we",6755687,15,1971855.0060725
"16","me",6444985,16,1849807.52145123
"17","this",5739788,17,1742051.10613475
"18","he",5516364,18,1646211.16845531
"19","for",5174060,19,1560411.91870979
"20","my",4938948,20,1483151.88516155
"21","on",4821861,21,1413214.94662914
"22","have",4764010,22,1349605.5943218
"23","your",4610945,23,1291501.05762582
"24","do",4419883,24,1238215.3811256
"25","was",4401531,25,1189172.11058396
"26","'m",4386306,26,1143883.27292439
"27","no",4374975,27,1101933.02044904
"28","not",4262273,28,1062964.77468
"29","be",4210868,29,1026671.02614083
"30","are",4203821,30,992785.171135912
"31","don",4158644,31,961074.926139812
"32","'re",4059719,32,931336.975130991
"33","know",3892394,33,903392.588668562
"34","can",3826118,34,877084.014902416
"35","with",3806977,35,852271.488327669
"36","but",3631462,36,828830.736320713
"37","all",3544700,37,806650.889403289
"38","so",3434152,38,785632.720959741
"39","just",3334392,39,765687.157351421
"40","there",3148528,40,746734.011170253
"41","here",3138591,41,728700.899584107
"42","they",3060204,42,711522.316965659
"43","like",2983027,43,695138.836721659
"44","'ll",2913428,44,679496.421794964
"45","get",2883193,45,664545.826956898
"46","she",2778359,46,650242.07894022
"47","go",2738504,47,636544.022834739
"48","if",2630800,48,623413.92509501
"49","right",2576821,49,610817.125083405
"50","out",2510010,50,598721.728362592
"51","about",2487348,51,587098.336014739
"52","up",2459855,52,575919.805144129
"53","at",2431398,53,565161.036450113
"54","him",2431059,54,554798.785365962
"55","now",2298830,55,544811.493768324
"56","oh",2298308,56,535179.139689407
"57","one",2263956,57,525883.102823979
"58","come",2203919,58,516906.043927466
"59","well",2159909,59,508231.796459279
"60","her",2154982,60,499845.269044658
"61","how",2140365,61,491732.357515254
"62","yeah",2000641,62,483879.865448417
"63","'ve",1991871,63,476275.432262173
"64","will",1969807,64,468907.468040594
"65","got",1968389,65,461765.094365741
"66","want",1950845,66,454838.090519957
"67","think",1839473,67,448116.844498214
"68","as",1792220,68,441592.308336009
"69","see",1781493,69,435255.957315608
"70","did",1742764,70,429099.752663323
"71","good",1741730,71,423116.107394105
"72","who",1734491,72,417297.854997869
"73","why",1722797,73,411638.22069545
"74","from",1709582,74,406130.795021415
"75","let",1705262,75,400769.50951689
"76","his",1666361,76,395548.614338286
"77","yes",1634050,77,390462.657608018
"78","when",1531731,78,385506.466351083
"79","going",1520767,79,380675.128877171
"80","time",1453708,80,375963.978482001
"81","an",1449181,81,371368.578354029
"82","okay",1428884,82,366884.70758377
"83","back",1405024,83,362508.348182869
"84","look",1348467,84,358235.673028893
"85","us",1346903,85,354063.034659716
"86","would",1340070,86,349986.954848423
"87","them",1327509,87,346004.114896041
"88","where",1322226,88,342111.34658506
"89","were",1315964,89,338305.623741842
"90","take",1312232,90,334584.05436064
"91","then",1275502,91,330943.873246067
"92","had",1274537,92,327382.435134637
"93","or",1267646,93,323897.208259358
"94","been",1265150,94,320485.768324435
"95","our",1191941,95,317145.792859905
"96","gonna",1188190,96,313875.055928532
"97","tell",1176290,97,310671.423159592
"98","really",1174710,98,307532.847086212
"99","man",1173588,99,304457.362764841
"100","some",1166914,100,301443.083657131
"101","say",1153915,101,298488.197756058
"102","hey",1149292,102,295590.963939553
"103","could",1111837,103,292749.708536197
"104","'d",1109205,104,289962.822088732
"105","didn",1100643,105,287228.756302214
"106","by",1090424,106,284546.021164625
"107","need",1040131,107,281913.182228696
"108","something",1038638,108,279328.858044491
"109","has",1035310,109,276791.717733079
"110","too",1022558,110,274300.478692353
"111","more",1010390,111,271853.904426641
"112","way",1000182,112,269450.802492414
"113","down",978966,113,267090.022552884
"114","make",963885,114,264770.454534827
"115","very",945653,115,262491.026881423
"116","never",930831,116,260250.704895312
"117","only",887363,117,258048.489166484
"118","people",885915,118,255883.414079984
"119","over",880841,119,253754.546398724
"120","because",880112,120,251660.983917056
"121","little",869522,121,249601.854180985
"122","please",842120,122,247576.31327123
"123","love",830324,123,245583.54464555
"124","should",823711,124,243622.758036991
"125","mean",821275,125,241693.188404938
"126","said",818878,126,239794.094936029
"127","sorry",818019,127,237924.760092196
"128","give",811919,128,236084.48870326
"129","off",799351,129,234272.607101654
"130","am",785830,130,232488.462297024
"131","thank",773577,131,230731.421188571
"132","any",767968,132,229000.869813136
"133","two",764564,133,227296.212627151
"134","even",744544,134,225616.87182069
"135","much",738599,135,223962.286661959
"136","doing",732145,136,222331.912870651
