Rk.,Column1,Player,Pitches,Total,Pitch %,xBA,BA - xBA,2
1,,"Merrifield, Whit",3049,11479,26.6,0.276,0.016,Graphs
2,,"Santana, Carlos",2918,12071,24.2,0.255,-0.013,Graphs
3,,"Machado, Manny",2916,10669,27.3,0.28,-0.005,Graphs
4,,"Goldschmidt, Paul",2916,12284,23.7,0.277,0.009,Graphs
5,,"Lindor, Francisco",2884,11287,25.6,0.276,-0.008,Graphs
6,,"Blackmon, Charlie",2867,11021,26,0.287,0.016,Graphs
7,,"Hernández, César",2839,11458,24.8,0.256,0.01,Graphs
8,,"Arenado, Nolan",2827,10737,26.3,0.264,0.027,Graphs
9,,"Castellanos, Nick",2822,10589,26.7,0.289,-0.003,Graphs
10,,"Abreu, José",2821,11036,25.6,0.277,0.006,Graphs
11,,"Freeman, Freddie",2811,11051,25.4,0.305,0.001,Graphs
12,,"LeMahieu, DJ",2810,10819,26,0.296,0.005,Graphs
13,,"Betts, Mookie",2802,11457,24.5,0.289,0.003,Graphs
14,,"Semien, Marcus",2793,11345,24.6,0.249,0.013,Graphs
15,,"Rizzo, Anthony",2753,10852,25.4,0.282,-0.012,Graphs
16,,"Ramírez, José",2742,11572,23.7,0.277,0.003,Graphs
17,,"Bogaerts, Xander",2725,11242,24.2,0.267,0.026,Graphs
18,,"Hosmer, Eric",2718,10472,26,0.261,0.016,Graphs
19,,"Story, Trevor",2711,10961,24.7,0.249,0.023,Graphs
20,,"Suárez, Eugenio",2692,11234,24,0.247,0.003,Graphs
21,,"Altuve, Jose",2687,9676,27.8,0.273,0.029,Graphs
22,,"Votto, Joey",2659,10850,24.5,0.278,0.001,Graphs
23,,"Turner, Trea",2654,10375,25.6,0.285,0.014,Graphs
24,,"Harper, Bryce",2652,11005,24.1,0.284,-0.004,Graphs
25,,"Escobar, Eduardo",2631,10376,25.4,0.253,0.005,Graphs
26,,"Martinez, J.D.",2629,10201,25.8,0.293,0.005,Graphs
27,,"Seager, Kyle",2627,10392,25.3,0.245,-0.014,Graphs
28,,"Yelich, Christian",2618,10812,24.2,0.292,-0.001,Graphs
29,,"Bregman, Alex",2590,10367,25,0.265,0.018,Graphs
30,,"Segura, Jean",2589,9630,26.9,0.268,0.023,Graphs
31,,"Bell, Josh",2582,10398,24.8,0.266,-0.006,Graphs
32,,"Gurriel, Yuli",2579,9007,28.6,0.273,0.022,Graphs
33,,"Cruz, Nelson",2520,9915,25.4,0.28,0.001,Graphs
34,,"Benintendi, Andrew",2515,9823,25.6,0.265,0.008,Graphs
35,,"Swanson, Dansby",2515,10194,24.7,0.251,-0.005,Graphs
36,,"Mancini, Trey",2508,9986,25.1,0.265,0.005,Graphs
37,,"Anderson, Tim",2499,8878,28.1,0.262,0.025,Graphs
38,,"Schoop, Jonathan",2488,9204,27,0.252,0.016,Graphs
39,,"Bryant, Kris",2473,9712,25.5,0.251,0.024,Graphs
