Rk.,Column1,Player,Pitches,Total,Pitch %,xBA,BA - xBA,2
1,,"Semien, Marcus",724,2776,26.1,0.243,0.005,Graphs
2,,"Turner, Trea",707,2720,26,0.276,0.022,Graphs
3,,"Lindor, Francisco",704,2829,24.9,0.254,0.016,Graphs
4,,"Guerrero Jr., Vladimir",700,2596,27,0.276,-0.002,Graphs
5,,"Bichette, Bo",697,2522,27.6,0.278,0.012,Graphs
6,,"Swanson, Dansby",696,2751,25.3,0.257,0.02,Graphs
7,,"Freeman, Freddie",696,2755,25.3,0.313,0.012,Graphs
8,,"Olson, Matt",693,2893,24,0.248,-0.008,Graphs
9,,"Riley, Austin",692,2641,26.2,0.271,0.002,Graphs
10,,"Cronenworth, Jake",681,2665,25.6,0.221,0.018,Graphs
11,,"Judge, Aaron",677,2906,23.3,0.305,0.006,Graphs
12,,"Abreu, José",677,2730,24.8,0.296,0.008,Graphs
13,,"Nimmo, Brandon",673,2781,24.2,0.261,0.013,Graphs
14,,"Hoskins, Rhys",672,2897,23.2,0.239,0.007,Graphs
15,,"Rosario, Amed",670,2395,28,0.276,0.007,Graphs
16,,"Mullins, Cedric",670,2460,27.2,0.232,0.026,Graphs
17,,"Alonso, Pete",669,2507,26.7,0.262,0.009,Graphs
18,,"Schwarber, Kyle",666,2878,23.1,0.237,-0.019,Graphs
19,,"Yelich, Christian",666,2747,24.2,0.258,-0.006,Graphs
20,,"Ramírez, José",665,2742,24.3,0.255,0.025,Graphs
21,,"Walker, Christian",665,2543,26.2,0.257,-0.015,Graphs
22,,"Profar, Jurickson",658,2790,23.6,0.251,-0.008,Graphs
23,,"Soto, Juan",658,2765,23.8,0.266,-0.024,Graphs
24,,"Seager, Corey",656,2268,28.9,0.283,-0.038,Graphs
25,,"Bregman, Alex",655,2521,26,0.257,0.002,Graphs
26,,"García, Adolis",655,2537,25.8,0.244,0.006,Graphs
27,,"Ohtani, Shohei",652,2546,25.6,0.278,-0.005,Graphs
28,,"Goldschmidt, Paul",650,2701,24.1,0.261,0.056,Graphs
29,,"Santander, Anthony",646,2618,24.7,0.257,-0.017,Graphs
30,,"Lowe, Nathaniel",643,2525,25.5,0.275,0.027,Graphs
31,,"Bell, Josh",643,2505,25.7,0.273,-0.007,Graphs
32,,"Arozarena, Randy",643,2527,25.4,0.234,0.029,Graphs
33,,"Verdugo, Alex",642,2490,25.8,0.278,0.002,Graphs
34,,"Betts, Mookie",639,2428,26.3,0.254,0.015,Graphs
35,,"Happ, Ian",637,2572,24.8,0.239,0.032,Graphs
36,,"Kwan, Steven",636,2643,24.1,0.268,0.03,Graphs
37,,"Machado, Manny",634,2371,26.7,0.264,0.034,Graphs
38,,"Bohm, Alec",630,2301,27.4,0.29,-0.01,Graphs
39,,"Witt Jr., Bobby",630,2332,27,0.252,0.002,Graphs
40,,"Bogaerts, Xander",629,2500,25.2,0.259,0.048,Graphs
41,,"Suárez, Eugenio",629,2617,24,0.22,0.016,Graphs
42,,"Edman, Tommy",628,2328,27,0.258,0.007,Graphs
43,,"Cron, C.J.",626,2500,25,0.244,0.013,Graphs
