Rk.,Column1,Player,Pitches,Total,Pitch %,xBA,BA - xBA,2
1,,"LeMahieu, DJ",1154,10819,10.7,0.243,0.011,Graphs
2,,"Hosmer, Eric",1119,10472,10.7,0.215,0.031,Graphs
3,,"Segura, Jean",1093,9630,11.3,0.232,0.06,Graphs
4,,"Hernández, César",1001,11458,8.7,0.245,0.046,Graphs
5,,"Simmons, Andrelton",980,7755,12.6,0.222,0.051,Graphs
6,,"Altuve, Jose",972,9676,10,0.237,0.059,Graphs
7,,"Turner, Trea",946,10375,9.1,0.285,0.048,Graphs
8,,"Andrus, Elvis",942,9167,10.3,0.223,0.037,Graphs
9,,"Anderson, Tim",935,8878,10.5,0.256,0.032,Graphs
10,,"Merrifield, Whit",917,11479,8,0.254,0.026,Graphs
11,,"Abreu, José",915,11036,8.3,0.242,0.024,Graphs
12,,"Lindor, Francisco",912,11287,8.1,0.251,-0.005,Graphs
13,,"Marte, Starling",911,8625,10.6,0.254,0.048,Graphs
14,,"Peralta, David",910,8862,10.3,0.232,0.041,Graphs
15,,"Bell, Josh",907,10398,8.7,0.249,-0.017,Graphs
16,,"Gurriel, Yuli",900,9007,10,0.242,0.054,Graphs
17,,"Blackmon, Charlie",899,11021,8.2,0.258,-0.005,Graphs
18,,"Santana, Carlos",898,12071,7.4,0.232,-0.025,Graphs
19,,"Machado, Manny",889,10669,8.3,0.251,0.021,Graphs
20,,"Brantley, Michael",882,8582,10.3,0.246,0.007,Graphs
21,,"Yelich, Christian",880,10812,8.1,0.281,-0.001,Graphs
22,,"Mancini, Trey",870,9986,8.7,0.228,0.023,Graphs
23,,"Bogaerts, Xander",857,11242,7.6,0.245,0.029,Graphs
24,,"Strange-Gordon, Dee",844,6130,13.8,0.222,0.056,Graphs
25,,"Iglesias, José",838,7873,10.6,0.213,0.023,Graphs
26,,"Villar, Jonathan",830,9558,8.7,0.229,0.054,Graphs
27,,"Castro, Starlin",830,8295,10,0.24,0.047,Graphs
28,,"Schoop, Jonathan",818,9204,8.9,0.232,0.018,Graphs
29,,"Rizzo, Anthony",813,10852,7.5,0.235,-0.044,Graphs
30,,"Cain, Lorenzo",811,8682,9.3,0.261,0.015,Graphs
31,,"Pham, Tommy",810,9843,8.2,0.253,0.009,Graphs
32,,"Rosario, Amed",804,7859,10.2,0.25,0.023,Graphs
33,,"Frazier, Adam",800,8658,9.2,0.233,-0.003,Graphs
34,,"Báez, Javier",790,9066,8.7,0.246,0.044,Graphs
35,,"Franco, Maikel",789,7900,10,0.197,0.002,Graphs
36,,"Gardner, Brett",783,10601,7.4,0.252,0.013,Graphs
37,,"Crawford, Brandon",775,9437,8.2,0.21,0.022,Graphs
38,,"Arenado, Nolan",773,10737,7.2,0.234,0.037,Graphs
39,,"Pillar, Kevin",768,8451,9.1,0.254,0.002,Graphs
